0	1.996
1	2.161
2	2.139
3	2.327
4	2.355
5	2.423
6	2.509
7	2.588
8	2.629
9	2.571
10	2.570
11	2.494
12	2.627
13	2.609
14	2.595
15	2.589
16	2.533
17	2.574
18	2.457
19	2.502
20	2.458
21	2.439
22	2.481
23	2.519
24	2.556
25	2.588
26	2.596
27	2.511
28	2.492
29	2.644
30	2.662
31	2.602
32	2.564
33	2.553
34	2.569
35	2.567
36	2.620
37	2.647
38	2.561
39	2.505
40	2.542
41	2.500
42	2.499
43	2.532
44	2.598
45	2.568
46	2.581
47	2.567
48	2.593
49	2.591
50	2.627
51	2.634
52	2.710
53	2.698
54	2.618
55	2.617
56	2.655
57	2.742
58	2.636
59	2.604
60	2.584
61	2.597
62	2.636
63	2.672
64	2.520
65	2.592
66	2.604
67	2.664
68	2.644
69	2.580
70	2.551
71	2.507
72	2.535
73	2.543
74	2.621
75	2.627
76	2.663
77	2.627
78	2.687
79	2.635
80	2.553
81	2.440
82	2.544
83	2.465
84	2.496
85	2.553
86	2.634
87	2.552
88	2.515
89	2.452
90	2.446
91	2.510
92	2.494
93	2.537
94	2.499
95	2.438
96	2.498
97	2.563
98	2.507
99	2.513
100	2.480
101	2.524
102	2.472
103	2.499
104	2.513
105	2.466
106	2.506
107	2.556
108	2.490
109	2.488
110	2.431
111	2.439
112	2.472
113	2.551
114	2.586
115	2.634
116	2.573
117	2.470
118	2.545
119	2.566
120	2.524
121	2.599
122	2.634
123	2.595
124	2.653
125	2.634
126	2.633
127	2.691
128	2.727
129	2.590
130	2.657
131	2.675
132	2.678
133	2.706
134	2.681
135	2.614
136	2.690
137	2.696
138	2.663
139	2.677
140	2.576
141	2.696
142	2.626
143	2.641
144	2.660
145	2.657
146	2.689
147	2.672
148	2.618
149	2.688
150	2.658
151	2.685
152	2.650
153	2.677
154	2.661
155	2.730
156	2.722
157	2.711
158	2.677
159	2.648
160	2.614
161	2.681
162	2.737
163	2.755
164	2.711
165	2.787
166	2.738
167	2.730
168	2.648
169	2.680
170	2.690
171	2.756
172	2.724
173	2.740
174	2.715
175	2.722
176	2.708
177	2.704
178	2.726
179	2.695
180	2.659
181	2.707
182	2.735
183	2.799
184	2.763
185	2.762
186	2.789
187	2.783
188	2.882
189	2.809
190	2.900
191	2.897
192	2.897
193	2.816
194	2.796
195	2.830
196	2.801
197	2.862
198	2.918
199	2.780
200	2.858
201	2.873
202	2.913
203	2.897
204	2.891
205	2.891
206	2.867
207	2.870
208	2.885
209	2.788
210	2.788
211	2.730
212	2.814
213	2.861
214	2.854
215	2.832
216	2.816
217	2.798
218	2.828
219	2.932
220	2.918
221	3.048
222	3.118
223	3.102
224	3.062
225	3.034
226	3.039
227	2.971
228	2.981
229	3.037
230	3.027
231	3.004
232	3.056
233	3.022
234	3.098
235	3.078
236	2.939
237	2.975
238	2.983
239	3.025
240	2.931
241	2.980
242	2.954
243	3.063
244	3.156
245	3.104
246	3.139
247	3.137
248	3.163
249	3.165
250	3.169
251	3.148
252	3.159
253	3.120
254	3.111
255	3.061
256	3.043
257	3.045
258	3.024
259	3.046
260	3.020
261	3.063
262	3.083
263	3.106
264	3.094
265	3.068
266	3.039
267	3.043
268	3.063
269	3.039
270	3.074
271	2.993
272	3.059
273	2.993
274	3.082
275	3.080
276	3.055
277	3.058
278	3.024
279	3.021
280	2.982
281	3.041
282	3.037
283	3.036
284	3.008
285	3.080
286	3.039
287	2.989
288	3.001
289	3.060
290	3.050
291	3.047
292	3.001
293	3.011
294	3.019
295	2.933
296	2.984
297	3.104
298	3.083
299	3.109
