Column1;Column2;Column3
2971;-3354211;-33.54211
2981;-3389212;-33.89212
3037;-3390644;-33.90644
3027;-3388485;-33.88485
3004;-3373820;-33.7382
3056;-3367509;-33.67509
3022;-3380584;-33.80584
3098;-3334188;-33.34188
3078;-3345952;-33.45952
2939;-3343514;-33.43514
2975;-3333330;-33.3333
2983;-3329781;-33.29781
3025;-3316712;-33.16712
2931;-3355825;-33.55825
2980;-3358631;-33.58631
2954;-3371695;-33.71695
3063;-3366114;-33.66114
3156;-3322660;-33.2266
3104;-3380319;-33.80319
3139;-3348094;-33.48094
3137;-3348160;-33.4816
3163;-3359008;-33.59008
3165;-3334544;-33.34544
3169;-3335472;-33.35472
3148;-3327203;-33.27203
3159;-3321493;-33.21493
3120;-3329459;-33.29459
3111;-3302321;-33.02321
3061;-3341638;-33.41638
3043;-3305946;-33.05946
3045;-3354885;-33.54885
3024;-3364527;-33.64527
3046;-3338802;-33.38802
3020;-3346635;-33.46635
3063;-3334653;-33.34653
3083;-3304824;-33.04824
3106;-3339474;-33.39474
3094;-3366219;-33.66219
3068;-3343676;-33.43676
3039;-3384106;-33.84106
3043;-3380854;-33.80854
3063;-3368099;-33.68099
3039;-3326589;-33.26589
3074;-3338949;-33.38949
2993;-3331307;-33.31307
3059;-3350855;-33.50855
2993;-3381353;-33.81353
3082;-3372474;-33.72474
3080;-3346700;-33.467
3055;-3306262;-33.06262
3058;-3330061;-33.30061
3024;-3328080;-33.2808
3021;-3345547;-33.45547
2982;-3332887;-33.32887
3041;-3327627;-33.27627
3037;-3339411;-33.39411
3036;-3333078;-33.33078
3008;-3350542;-33.50542
3080;-3373297;-33.73297
3039;-3313412;-33.13412
2989;-3332684;-33.32684
3001;-3348178;-33.48178
3060;-3378444;-33.78444
3050;-3322645;-33.22645
3047;-3368734;-33.68734
3001;-3387033;-33.87033
3011;-3353698;-33.53698
3019;-3380599;-33.80599
2933;-3365655;-33.65655
2984;-3322712;-33.22712
3104;-3308942;-33.08942
3083;-3355863;-33.55863
3109;-3371367;-33.71367
